ID,text,target,stance,sarcasm,sentiment
598,خطوة للأمام وبإذن الله التحول الإلكتروني في الجهات الحكومية سيحل الكثير من المشاكل والعقبات وبإذن الله متفائلين بالأفضل ,Digital Transformation,Favor,No,Negative
599,   شيء يشرف ان يكون هناك تطبيقات من شباب الوطن. ولكن يبقى قنوات استخدام ذلك التطبيق. معتمدة على مزودي الخدمة. التي لا تزال خدماتها ضعيفة على مستوى الوطن العزيز. لابد ان يكون هناك مؤشر نجاح في الخدمات يواكب التحول الالكتروني,Digital Transformation,Favor,No,Positive
600,     بما اننا لسنا مصنعين لمواد التقنية. فان التحول الالكتروني. سيأخذ جهد. ويستنزف موارد. فلابد ان نكون في مصاف الدول المصنعة.,Digital Transformation,Favor,No,Negative
602,من غير تطعيم ضد كورونا سنكون افضل,Covid Vaccine,Against,No,Negative
603,   نتمني ذلك في ظل التحول التقني والرقمي الذي تشهده مملكتنا الحبيبة في ظل قيادتنا الرشيدة,Digital Transformation,Favor,No,Positive
604, تمكين المرأة أقول لك,Women empowerment,,No,Neutral
605,#صباح_الخير دوار الشمس  #تطعيم_كورونا اليوم للجرعة الأولى والحافظ الله.   تنظيم جبّار   #شكرا_وزارة_الصحة ,Covid Vaccine,Favor,No,Positive
606, عدم التزام الموظفين بتطبيق التراسل الإلكتروني واستخدام نظام الارشفه ويعود إلى  ١ عدم وجود رقابة من المسؤولين ع موظفيهم ٢ عدم التزام المؤسسات المعنية بتطبيق التحول الرقمي مثل هيئة الوثائق والمحفوظات و هيئة تقنية المعلومات  ٣ على الإدارة اتخاذ إ,Digital Transformation,,No,Neutral
607,  اللي فهمته من البيان ان ارتفاع الخسائر كان بسبب رئيسي هو اعادة تقييم الاستكات الموجودة في المخازن !!! التحول الى التسويق والبيع عبر السوق الالكتروني هو المستقبل واغلاق اغلب الفروع وتخفيض الايدي العاملة حل من الحلول المستقبلية,Digital Transformation,Favor,No,Neutral
608,الإخوان في   يتم الآن تحصيل رسوم لتراخيص الدفاع المدني سارية المفعول بحجة التحول الإلكتروني فما ذنب أصحاب المؤسسات أن يدفعون الرسوم مرتين بدون سبب لعناية   ,Digital Transformation,Against,No,Negative
609,    حياك أخي الكريم أبو المعتصم  عندي ترخيص من الدفاع المدني ساري المفعول وأريد أعمل ترخيص بلدي تطلع من ضمن الرسوم مبلغ 30 ريال لترخيص الدفاع المدني طيب هذا المبلغ مدفوع مسبقا وعندي الترخيص  ليش أدفع مره ثانية قا,Digital Transformation,,No,Neutral
610,خطوه موفقهالتصفيقالتصفيق  فعلاً التحول الإلكتروني ينهي  ٧٠٪من المشاكل ويمنع استغلال الوظيفه سواً للواسطه او الرشوه اوغيرها ونتمنى تطبيق مماثل في نظام (ابشر السعودي )جميع المراجعات الحكوميه في يوزر واحد ,Digital Transformation,Favor,No,Negative
612,هذا ماهو تمكين المرأة السعودية من العمل بشرف   هذا إهانة واستعباد وقد يتبعه المساوة على الشرف - من سلط المدراء الأجانب على عيالنا فهو عميل وخائن - من أجبر بناتنا بالعمل وسط الرجال الأجانب فلا عنده شرف - من أقر المادة 77 ومن وافق على استمرار العمل بها هو خائن من اتباع فقيه والجبري ,Women empowerment,Against,No,Negative
614, ولقاح صارله تقريبن ٥ شهور وهو موجود الناس لهم عقل مايبعون عمرهم بسهوله وفحصو رؤساهم بعد لقاح وقالو مافي خطوره وامن وفي دكتور حق العنايه المركزه اخذ الجرعه الثانيه فايزر وفحص نفسه وقال سليم ولافي اعراض وحنا لما كنا صغار ناخذ تطعيم وابر ولاندري م,Covid Vaccine,,No,Positive
615, الله يخارجنا منها حنا يادوب متخارجين مع الكبتاجون جابو شيء ماله علاج اعتقد انه مادخل للبلاد الا مع الانفتاح السريع ويبدو انهم ماحسبو حساب المخدرات والمسكرات الله يعافينا  وين دور الاعلام ووزارة الرياضة والتعليم  اذا صارت مقابله مع مسئول ماهو حافظ,Women empowerment,,No,Neutral
616, التحول الإلكتروني يعني نظام بعيد عن تدخل البشر ولا يتطلب من احد الخروج عنه .,Digital Transformation,,No,Neutral
617, الورم الحليمي هذا ما طلع إلا بعد تطعيم فايروس كورونا. ولكن عندي تساؤل لماذا الصحة توصي بتطعيم الفتيات ضد الورم الحليمي هل؟؟ هناك إرتباط بين لقاح فايروس كورونا وفايروس الورم الحليمي أم اللقاح هو من يسبب ذلك الورم؟؟ تساؤل وأحتاج جواب.,Covid Vaccine,Against,No,Neutral
618, الورم الحليمي هذا ما طلع إلا بعد تطعيم فايروس كورونا. ولكن عندي تساؤل لماذا الصحة توصي بتطعيم الفتيات ضد الورم الحليمي هل؟؟ هناك إرتباط بين لقاح فايروس كورونا وفايروس الورم الحليمي أم اللقاح هو من يسبب ذلك الورم؟؟ تساؤل وأحتاج جواب.,Covid Vaccine,Against,No,Neutral
619,#مجلس_الشؤون_الإدارية_للقضاء يطلق دليلا استرشاديا لبعض الخدمات القضائية التي يقدمها تجدونها في الموقع الإلكتروني منصة قضاء للخدمات الإلكترونية  بحقل إجراءات التقاضي على    #قضاء #مشروع_التحول_الالكتروني مقياس التوازن️🇴🇲  ,Digital Transformation,Favor,No,Neutral
620,والله العظيم لو أقول وش أجمل تحول حصل في #السعودية خلال السنوات الماضية كان قرار إلزام المحلات بتوفير #الدفع_الالكتروني في كل محل ومتجر وبقالة وسوبرماركت وكمان توفير الدفع بالجوال أو الساعة  ونقول #ويستمر_التحول قلب أحمر️قلب أحمر️  #إبتسامة_قلم,Digital Transformation,Favor,No,Positive
621, هذا هو تمكين المرأه المزعوم .. نزع الحجاب والتبرج والإنحلال,Women empowerment,Against,No,Negative
624, تطعيم كورونا بدون حضور  جرعه اولى  جرعه ثانيه جرعه ثالثه جرعه رابعه  عمر 50 الاتعاب بعد الانجاز بذمتك,Covid Vaccine,,No,Negative
627,عز الله يعزك يا #خادم_الحرمين_الشريفين   القول الفصل في #تمكين_المرأة ,Women empowerment,Favor,No,Positive
628,رؤساء تحرير الصحف السعودية الرجال  جهزوا أنفسكم للرحيل قبل 2022   الإناث قادمات لإستلام المهمات امرأة‍مدرسةامرأة‍حاسوب محمولامرأة‍قبعة التخرجشعر أشقر‍علامة أنثى️  #تمكين_المرأة  #الاعلام  #جريدة_الرياض  #عكاظ  #الجزيرة  #الشرق_للأخبار  #الشرق_الأوسط  #صحيفة_المدينة  #صحيفة_مكة  #صحيفة_البلاد  #صحيفة_الوطن,Women empowerment,Against,Yes,Positive
629,#البحث_العلمي #إلى_كل_باحث_و_باحثةسوف    مع الأحداث الراهنة و التحول نحو التعليم الإلكتروني وتعليق الحضور لمقرات العمل   ماهو تأثير #الحجر_المنزلي على مستوى الأداء و التواصل مع المشرفين بالبحوث العلمية؟,Digital Transformation,Favor,No,Neutral
630,  إذا جينا بنتكلم بالعقل والمنطق؛ بعيدًا عن تمكين المرأة الآن، من مئات السنين معلماتنا نساء وممرضاتنا نساء ما اشوفهم قصروا على بيوتهم بالعكس، تكلم كلام واقعي لا تتكلم كلام مبني على وهم,Women empowerment,Favor,No,Positive
631,فخورة جداً بتمكين المرأة في مهنة المحاسبة  وتوسيع الفرص الوظيفية والتدريبةقلب أبيض  وبإذن الله نكون ملهمات طموحات في هذي المهنة العظيمة ...امرأةلون البشرة الفاتح‍حقيبةينمو القلب   #تمكين_المحاسبات ,Women empowerment,Favor,No,Positive
632,أزمة التحول نحو الاقتصاد المعرفي! - المركز العربى لابحاث الفضاء الالكترونى ,Digital Transformation,,No,Neutral
633,  قوانين مجنونه متخلفه كلها ظلم و عبودي و إهانه و لا عقلانيه السيس مع #تجديد_الخطاب_الديني  و #رؤية_السعودية_2030 مع #المسوات و #تمكين_المراه وبإذن الله القوانين المتخلفه تصير من التراث,Women empowerment,Against,No,Negative
634, خيالهم واسع المناهضين للمرأه و تمكين المرأه. شخص يسحب الوجهلون البشرة الفاتح‍علامة الذكور️,Women empowerment,Favor,No,Negative
635, بس احيدج ما تدانين فريقهم. شو صار في تمكين المرأة ؟,Women empowerment,,No,Neutral
636, امزح امزح  تمكين المرأة ممتاز.,Women empowerment,Favor,No,Positive
637,رشحو لي أفضل الشركات التقنية المتخصصة في تصميم الويب-تصميم التطبيقات  ارسلو حساباتهم بالرد او بياناتهمحسنا اليدلون البشرة الفاتحالتصفيقلون بشرة متوسط ​​إلى فاتح #تقنيات #تطبيقات #تحول_رقمي #التحول_الرقمي,Digital Transformation,,No,Neutral
638,  هههه لقد نادينا بضرورة التحول الرقمي ولكن يبدؤ أن هذا الأمر اخر اهتمامنا فالدولة السودانية شلتها النمطية ارحمونا يا قادتنا من فضلكم العالم أصبح رقمي إذا لم يحدث هذا التحول خلال هذا العام فإننا سنجني على الاجيال القادمة بهذا التخ,Digital Transformation,Favor,No,Negative
639,جامعة الشرق الأوسط تنظم ملتقى تمكين المرأة الاقتصادي   #الأردن #جريدة_الدستور_الاردنية #مصلحتك_في_اللقاح ,Women empowerment,Favor,No,Neutral
641,منتدى الفكر العربي يناقش تمكين المرأة والشباب في الأردن   #الأردن #جريدة_الدستور_الاردنية #مصلحتك_في_اللقاح ,Women empowerment,,No,Neutral
642,منتدى الفكر العربي  أكاديميون وناشطون اجتماعيون يناقشون تمكين المرأة والشباب في الأردن   #الأردن #جريدة_الدستور_الاردنية #مصلحتك_في_اللقاح ,Women empowerment,Favor,No,Neutral
643,مدير «دياكونيا « في مجلس كنائس الشرق الأوسط يتفقد مشاريع تمكين المرأة    #الأردن #جريدة_الدستور_الاردنية #مصلحتك_في_اللقاح ,Women empowerment,Favor,No,Neutral
644,كندا تعلن تطعيم 85 بالمائة من سكانها بلقاحات كورونا   #الأردن #جريدة_الدستور_الاردنية #مصلحتك_في_اللقاح ,Covid Vaccine,Favor,No,Neutral
645,«وزارية تمكين المرأة» تناقش شروط آلية عملها المرجعية   #الأردن #جريدة_الدستور_الاردنية #مصلحتك_في_اللقاح,Women empowerment,Favor,No,Neutral
646, بركات تمكين المرأة اترحمنا وجه بدموع الفرح,Women empowerment,Favor,Yes,Negative
647,في اليوم الدولي للمرأة والفتاة في ميدان العلوم، نحتفي بجميع الإناث في دولة الإمارات العربية المتحدة، لدورهن الريادي في تغيير النظرة النمطية وتصدر مجالات الإبتكار ومختلف ميادين العلوم والأبحاث!  #تمكين_العقول #تمكين_التعليم #المرأة_في_العلوم ,Women empowerment,Favor,No,Positive
648,سوو دعايه من اليوم ليه بعد سنه تطعيييم نوووووووووووو #تطعيم_كورونا,Covid Vaccine,Against,No,Neutral
649, ماشاء الله انعم واكرم..... شكله فاهم تمكين المرأة خطاء,Women empowerment,Against,No,Positive
652,#مجرد_سؤال للشركة المصنعة للقاح المصنع ضد مرض #كورونا  - هل تم تطعيم العاملين في الشركة المصنعة قبل نشر اللقاح في الأسواق العالمية ؟,Covid Vaccine,,No,Neutral
653, التحول الالكتروني راح يغلق كثير من الفروع في البنوك ولا غيره   مثل الجرايد والصحف سابقا,Digital Transformation,Favor,No,Positive
654,  شلون كورونا لعبة و ٧٥٪ من الشعب السويدي مطعم  وشلون لعبة واكثر من ٨٠٪ من اوربا مطعمين ! منو يلعب على منو ! او انتوا بس فاهمين اللعبة واوربا وامريكا مساكين مو فاهمين وطايحين له تطعيم ! في شعوبهم,Covid Vaccine,Favor,Yes,Positive
656,أمنيه أن يكتمل مشروع التحول الالكتروني سريعا في كافة الخدمات القضائية مع تعديل القانون والسماح بتبادل المذكرات إلكترونيا وبذلك يوفر مجلس الشؤون اﻻدارية للقضاء مصاريف ايجار المباني والنظافة والحراسة والإيفاد والاستهلاك ويمكن الأطراف العمل من اي مكان وبذلك يقل الازدحام المروري. ,Digital Transformation,Favor,No,Positive
657, السلام عليكم ورحمة الله. قررت ان اخذ الجرعة الثالثة من تطعيم كورونا بمطار الملك عبدالعزيز الجنوبي. استفساري اذا احد اخذها من المطار  حديثا هل هو فايزر؟,Covid Vaccine,,No,Neutral
659,نحن فخورون بالنساء اللواتي يخترن خوض التحديات كل يوم من أجل بناء عالم أكثر استدامة. دعونا نلتزم معاً بالعمل على تمكين المرأة وتحقيق #المساواة بين الجنسين الذي يمثل الهدف الخامس من أهداف التنمية المستدامة. امرأةلون البشرة الفاتح‍مجهرامرأة مع الحجابلون بشرة متوسطامرأةلون بشرة متوسط ​​إلى فاتح‍حاسوب محمول  ما هو التحدي الذي تختارينه؟  #يوم_المرأة_العالمي ,Women empowerment,Favor,No,Positive
660,#يوم_المرأة_العالمي هو مناسبة تستذكر فيها #مصرمع العالم نجاحاتها في مجال تمكين المرأة، مشيرة إلى أن #المرأة_المصرية أثبتت قدرتها على النجاح في مهامها الممتدة من الأسرة إلى العمل وحتى الإبداع #اليوم_العالمي_للمرأة,Women empowerment,Favor,No,Positive
661, طيب كل عاقل يسأل ليه مافيه تطعيم للشقيقة مثلا وللصرع ولكثير من الامراض المزمنة واللي يعاني منها المرضى سنوات    وكورونا اللي اسبوعين والمريض متعافي حريصين على التطعيم مع ان كل اللي اعرفهم جاهم كورونا باعراض اخف من الانفلونزا والبرد وبعضهم كبار واعمارهم بالثمانين,Covid Vaccine,Against,No,Negative
663,اليوم كان بعنوان:  طعم يا حمار انت و هو.  #كورونا #تطعيم_كورونا  #رمضان,Covid Vaccine,,Yes,Neutral
664,  او الخيار الامثل .. دعوه للتفكير  !! انك ما تاخذ اي تطعيم تجاري .. واذا حاشتك كورونا تشفى بنسبه 99.8% من جهاز المناعه اللي خالقه لك الله والحمدلله او يمكن تموت بنسبه اقل من نص الواحد %.. حسابيا احسن من 2.3% !! وصحيا افضل من دخول  ,Covid Vaccine,Against,No,Neutral
665,#نسويات_نشكر_ولي_العهد اكيد نشكره على تمكين المرأة و اعطاء المرأة حقوقها اللي نص عليها الدين و الشرع   ترا محد مدلعنا و قايلن بنا هه الا هو قلب بنفسجي,Women empowerment,Favor,No,Positive
666, شكراً قناة العربية تقرير رائع من المراسل المبدع يوضح بعض إنجازات الوطن في برنامج التحول الإلكتروني الكامل نحو إيقاف التعاملات الورقية وتحول كل المعاملات بشكل إلكتروني كامل لأجل خدمة المواطن بكل بشكل ميسر وسهل و وقت قصير .,Digital Transformation,Favor,No,Neutral
668,تخطي حاجز 10 مليون شخص ممن تلقوا لقاح #كوفيد_19 في #الامارات ولله الحمد والمنه . شكرا للجنود المجهولين للحمله الوطنية لتطعيم شكرا لقيادتنا الحكيمة . #تطعيم_كورونا,Covid Vaccine,Favor,No,Positive
669,هناك فرق بين حملة التطعيم وحملة التوعية بفوائد التطعيم ... التطعيم حق اختياري وأي مساس بحرية الوالدين في أخذ أبنائهم تطعيم كورونا من عدمه سيلحق المسؤوليه بمرتكب الخطأ لذا جرى التنبيه..     ,Covid Vaccine,,No,Neutral
670,العالم يسابق الزمن لإنهاء كابوس #كورونا بتسجيل مليار جرعة #تطعيم ,Covid Vaccine,,No,Neutral
671,#تمكين_المرأة ان تمكين المرأة السعودية من القيام بدورها الطبيعي في كافة المجالات له انعكاساته الإيجابية على عملية التنمية وبنية المجتمع,Women empowerment,Favor,No,Positive
672,تونس تشرع في تطعيم من سنهم أكثر من 65 سنة بالجرعة الرابعة للتلقيح ضد كورونا (وزير الصحة). #وكالة_وات,Covid Vaccine,Favor,No,Neutral
673,يغيظني دعم هذا الشأن أو ذاك مرضاةً للغير أو مجرد مواكبة للموجة دون تفكير. جيد أن تمكين المرأة السعودية هو لغرض تمكينها وليس لغرض آخر ,Women empowerment,Favor,No,Negative
674, نحن في بداية العصر الذهبي وهو تمكين المرأه من حقوقها وتخليص المجتمع من افكار التحجر والتخلف بأعمال العقل بكل مناحي الحياة كما امر الله بالقران الكريم (تعقلوا،تفكروا،تدبروا ،الخ),Women empowerment,Favor,No,Positive
675,عبدالغفار يكشف أسباب انخفاض إصابات كورونا ويؤكد تطعيم 33 مليون شخص تطعيما كاملا من الفئات المستهدفة  #أخبار_مصر ,Covid Vaccine,Favor,No,Neutral
676,حيث تحدثت رسالة الملتقى عن تمكين المرأة #السعودية  والنجاحات التي حققتها ودورها في نهضة المجتمع تتابعا لمسيرة الإصلاحات الاجتماعية والاقتصادية والمدنية التي قامت بها الدولة مؤخرا من #2017   حيث تأتي استضافة #هونشي_السعودية للملتقى ضمن  = ,Women empowerment,Favor,No,Positive
677,. الحمد لله رب العالمين  أخذنا أول جرعة تطعيم ضد  فيروس كورونا اللعين,Covid Vaccine,Favor,No,Positive
678,” التوكيلات العالمية ” تُقيم ملتقى هونشي النسائي الأول بعنوان تمكين المرأة السعودية ,Women empowerment,,No,Neutral
679,التحول الرقمي أدى إلى تطورات كثيرا لدى الطالب وساعده في المشكلات الى يواجه الطالب  الشكر والتقدير للتحول الرقمي,Digital Transformation,Favor,No,Positive
680,#نعم_لتمكين_المرأة في كافة المجالات #سعودية_وأفتخر تمنيت #تمكين_المرأة_قول_وفعل قلب اخضر ,Women empowerment,Favor,No,Positive
681, دكتوري الفاضل الكثير من الجهات تسعى للتحول الرقمي ولكن لايوجد دراسة من مدى جدوى هذا التحول وماهو المستهدف منه وكيف يكون التأهيل للموظفين لإنجاح هذه العملية,Digital Transformation,,No,Neutral
682,#كلنا_اخوانك_ياوصال في #فرنسا يهاجمون العالم الإسلامي بشعارات المرأة وتمكين المرأه ويجعلون اي حدث كمنافسه بين المرأه والرجل ويصورونه على أنه صراع على إثبات الوجود والحقوق بينما الواقع لديهم لا يثقون في تمكين المرأه مع انها كانت ستخفض سن التقاعد من ٦٥ إلى ٦٠ لكنها امرأة فخسرت ,Women empowerment,Favor,No,Negative
683, ده كان موضوع مش صغير لما اتعمل و اتكلمنا هنا عنُّه يومها شوية. كان مؤتمر مخصوص.  البرنامج اسمُه تنمية الاسرة المصرية.  من اهم المواضيع اللي هيركّز عليها هو تمكين المرأة اقتصادياً. و حوافز مادية ب ودايع مالية للملتزمين.   ,Women empowerment,Favor,No,Neutral
684, شرحوا يومها في المؤتمر ان في كُل الابحاث و البرامج الدولية  بتقول ان انجح المحاور هو تمكين المرأة اقتصادياً  لأن العكس بيخلّيها تبحث عن قيمتها في كُتر الخِلفه. و هيكون فيه تشريعات ل قوانين تخلّي الست تحتفظ ب وظيفتها وقت الخِلفة و حاجات زي كده. غير,Women empowerment,Favor,No,Neutral
686, مساء الخير ارجو افادتي بكيفية معادلة تطعيم كورونا الحاصلين عليه من خارج المملكة ؟,Covid Vaccine,,No,Neutral
687,ممكن حد يفيدني استخراج شهادة تطعيم كورونا للسفر منين في ٦ أكتوبر والشيخ زايد؟ #مساعدة #رتويت,Covid Vaccine,,No,Neutral
689, في عشوائية كثيرة بالسوق العقاري ربما مع التحول الالكتروني يطوله بعض التنظيم,Digital Transformation,Favor,No,Positive
690,تمكين المرأة = تمكين اختلاط النساء بالرجال,Women empowerment,Against,No,Negative
691,  لماذا لا نقول لن يصيبنا إلا ما كتب الله لنا ونتكول على الله بدون اخذ اللقاح  على كل حال انا لم اخضع لفحص كورونا واحد ولم اخذ اللقاح ودفعت مبلغ مالي للحصول على شهادة تطعيم فايزر جرعتين وتوكلت على الله,Covid Vaccine,Against,No,Neutral
692, تطعيم كورونا غير  ماله علاقة بالتطعيمات اللي نعرفها من ناحية التقنية والسرعة اللي ظهر فيها. اما عن نفسي فكنت اثق بالسيستم ثقة عمياء واطعّم عيالي  بس الحين اي شي اسمه تطعيم بشك وبسأل وبدوّر. عيب علي اذا ما سويت جذي,Covid Vaccine,Against,No,Neutral
694, مش بس استرازينكا انا اخدت تطعيم فايزر وجالي كورونا بعده,Covid Vaccine,,No,Negative
695,لله الحمد والمنة اخذت الجرعة التنشيطية اليوم,Covid Vaccine,Favor,No,Positive
696, شكرا جزيلا لمداخلتك الثرية والإضافية والجهود الرسمية للتحول الإلكتروني بدأت قبل عام ٢٠٠٨ وكما تفضلت بعد ٢٠٢٠ هو عام إكتمال التحول الرقمي بالكامل وهناك جهود تبذل فتذكر وتشكر حفظك الله,Digital Transformation,Favor,No,Positive
697, التحول الالكتروني اصبح فرضا على جميع المؤسسات  وهنا يجب على الجميع التهيؤ لهذا الانتقال,Digital Transformation,Favor,No,Positive
698,الجميع يتحدث عن سهولة الإجراء المتبع في مراكز تطعيم لقاح #كورونا الجميع يعبر عن سعادته البالغة للإمكانات الضخمة المقدمة وروعة الاستقبال والتوديع من قبل العاملين في هذه المراكز. رسالة محبة وتقدير للعاملين في #وزارة_الصحة قلب أبيضقلب أبيض شكراً  قلب اخضر🇸🇦قلب اخضر,Covid Vaccine,Favor,No,Positive
699, لذلك التحول للعمل  الإلكتروني  يجب أن يكون  خيار  وليس  إجبار. يدخل  رجل  خمسيني يريد  فتح  حساب  بنكي فيطلب منه  الموظف  عمل ذلك  من  الموقع والرجل  ربما  يكون  لا يعرف  فيضطر  للمكاتب  وغيرها  ويسلمهم  أسراره  يفترض  من حق الشخص تلقي  ا,Digital Transformation,Favor,No,Neutral
701,  التحول الالكترونى سمة العصر وسيقضي على الكثير من المشكلات ويسهل المعاملات  لكنه سلاح ذو حدين  سيقلل الاعتماد على العامل البشري ويصبح عندنا مشكلة موظفين بلا عمل أو تقليل الحاجة لتوظيفهم,Digital Transformation,Favor,No,Positive
702,فيلم ثور الجديد مجرد اجندة جديدة لمارفل و الحزب الليبرالي في تمكين المراة في الافلام و استخدامها كسلعة للتسويق دون اي توجه لفكرة جديدة او سيناريو فيه ربع جرام ابداع,Women empowerment,Against,No,Negative
704, اول شي مافي مقارنه بين الاثنين  الشي الثاني في تطعيمات اجبارية من زمان ومنها تطعيمات ما قبل المدرسة   وبخصوص تطعيم كورونا انت ضررك مو بس على نفسك,Covid Vaccine,Favor,No,Neutral
707,#لا_للتطعيم_الاجباري الجرعة التنشيطية لكبار السن من أجل التخليص عليهم وبعدين نفضي لكم كده الصياغة الحقيقية,Covid Vaccine,Against,No,Neutral
708,معلش بقى هى دى ضريبه تمكين المرأه وجه مبتهج بعيون مبتسمة ,Women empowerment,,No,Negative
709,  الله المستعاان .كيف هيساعد زوجك وهو إللي بيحض علي تمكين المرأه وهدم المجتمع وخراب البيوت لان ببساطه معروف هدف تمكين المرأه والمساواه هو هدم المجتمع المصرى وتفكيك الاسر# ومساعدة زوجك بالسياره عشان يشتغل ويصرف علي بيته هاتكون خساره,Women empowerment,Against,No,Negative
711,دول رجالة مصر اللى بيحمو البلد بدمهم وبيشتغلو ليل نهار علشان خاطر ولادهم وزوجاتهم ...على فكره الشهداء دول هم هم اللى الدنيا مقلوبه عليهم دلوقتى بحجة تمكين المرآة وعمالين يخربو فى بيوتهم بأفكار مسمومه ..اللى بيبكى على دول يحافظ على اللى زيهم الحب مش بيتجزأ ,Women empowerment,Against,No,Negative
712,   يقصد انه لم يأخذ احد اللقاح من قبل علشان يفكر في حماية الآخرين  بمعنى أن كثير من الاشخاص تجيهم كورونا وتروح من غير ما يحس فيها يتم إجباره على أخذ اللقاح علشان يحمي الآخرين بينما المفترض تطعيم الآخرين علشان ما تجيهم كورونا وترك الاصحاء في حالهم,Covid Vaccine,,No,Neutral
713,عبارات رنانة.. حول تمكين المرأة.. من الذي سيمكنها.. ومما سيمكنها؟؟  إن أعظم تمكين لها أن تتمسك بكتاب الله، وسنة نبيه محمد صلى الله عليه وسلم. وان تتعلم احكام دينها. وان تلتزم العفة والستر. وإن ذلك كله يسير على من يسر الله عليه. وحذاري من دعوة التمكين لطريق جهنم.  والله مبتغاي.,Women empowerment,Against,No,Negative
714,أخيراً ولله الحمد  أخذنا الجرعة الاولى من تطعيم كوفيد19 Finally got my first dose  نسأل الله ان يكون تطعيم العافية من كل بلاء. #اللقاح_امن  #تطعيم_كورونا #vaccinated #CovidVaccine ,Covid Vaccine,Favor,No,Positive
715,وزيرة الدولة لشؤون الاتصالات وتكنولوجيا المعلومات د.رنا الفارس وعدت بالتحول الرقمى   ولا زال التحول مصاب بالحول . بابا ما دام فيه مستشارين وافدين سيخسرون مواقعهم فحتما لن يكتب للتحول الرقمي النجاح .. فشلتم فشلا ذريعاً ,Digital Transformation,Favor,No,Positive
716,  عليميها بالمنزل لأنها لو أخذت تطعيم كورونا وصادفتها الجرعة 30 فتلك الجرعة قاتلة ولن نستطيع الاعتماد على الاطباء لأنهم يروجون للقاحات ولا يهتمون بنا ان عيشنا او متنا بعد اللقاح,Covid Vaccine,Against,No,Negative
717,    قاعه السينما والمراقص ومراكز الاستجمام والحفلات الغنائية والمهرجانات و الملاعب مافيها لا كورونا ولا تطعيم وفعاليات جده والرياض ونجران خير برهان بينما المسجد الحرام والمسجد النبوي وكافة المساجد يتخللها فيروس كورون,Covid Vaccine,,No,Negative
719, مشكلة كل القطاعات يظنون ان التحول الالكتروني في ارشفة الورق في الجهاز !!!,Digital Transformation,Favor,No,Positive
720, يارباه لجنة مساءلة .. ماهو الجرم اللي اقترفته علشان يسووولك هذا كله .. يعني معقولة عقول تعيش في القرن العشرين ترفض التحول الالكتروني .. هذول يحتاجوا ان يراجعوا مستواهم النفسي والذهني ... في حكومات تبتهج عندما ترى موظفيها يسعوا للتحول الالكترون,Digital Transformation,Favor,No,Positive
721,أشارك بصوتي في دعم أهمية تمكين المرأة السعودية وعلى ضرورة تكافؤ الفرص بين المرأة والرجل بطريقة تتناسب مع مبادئنا وقيمنا الاجتماعية والأخلاقية  #اعتمدي_علي      ,Women empowerment,Favor,No,Positive
722,العالم يتحول رقميا الشركات تتحول رقميا الحكومات تتحول رقميا التحول الرقمي يقلل المصاريف ويوفر الوقت وبالتالي يزيد الأرباح تأجيلك للتحول الرقمي سيعطي المنافسين. الأسبقية. بادر وكن في المقدمة  #ERP ,Digital Transformation,Favor,No,Positive
723,نفسي الناس تدرك خطورة وصعوبة الوضع والله،أنا واحد جالي كورونا قبل كده في الأول خالص وكانت بفقدان شم وتذوق بس وجاتلي تاني من إسبوعين بأعراض أتقل بكتير من المرة الأولي وكمان بعد ما خدت جرعة من التطعيم يعني اتصبت مرة وخدت جرعة تطعيم وجتلي تاني بأعراض أشد،ربنا يحفظنا ويحفظ أهالينا ,Covid Vaccine,,No,Neutral
724, التحول الإلكتروني هو حل كبير لتطوير الخدمات وتقليل الفساد الإداري.,Digital Transformation,Favor,No,Positive
727,التحول الرقمي التقني زر علامة الاختياريد النصرلون البشرة الفاتح  #التعليم_عن_بعد ,Digital Transformation,Favor,No,Negative
728, وزارة البلديات سابقا تجدد الترخيص بنصف ساعة   الان ثلاثة أشهر وشهرين  وايضا الخدمات بكل الوزارات نفس المشكله   المشكله ليس بالموظفين   التحول الإلكتروني أمرض تجارتنا مرض شديد,Digital Transformation,Against,No,Neutral
729,أخذت اليوم الجرعة الأولى من لقاح #فايزر في مركز تطعيم #COVID19 بالحرس الوطني ماشاء الله تبارك الله تنظيم خُرافي وإمكانيات جبارة.  قلب أحمر️قلب أحمر️قلب أحمر️ ,Covid Vaccine,Favor,No,Positive
730,   اختي العزيزة قريت واعرف كل تفاصيل مسؤولة تمكين المرأة بوزارة الكهرباء هي الي اقامت الندوة وعلا التميمي موظفة وحضرت هاي الندوة اما الموضوع ضد ظاهرة التدخين للبنات التحت 18 سنة المهندسة علا شنو الغلط الي ارتكبتة ؟؟,Women empowerment,,No,Neutral
731,   تمكين المرأة هذا القسم مختص بالنساء ليس الرجال يعني اختيار الجنس صحيح  وارجع اكرر سؤالي علا التميمي شنو الغلط الي ارتكبتة؟,Women empowerment,,No,Neutral
733, اولا مستحيل تاخد فيروس كورونا من التطعيم و خاصة سينوفارم. ثانيا التطعيم (حتى فايزر) يقلل فقط نسبة حدوث مضاعفات و دخول مستشفي بنسبة ٩٠٪ فى حالة فايزر. لا يمنع اى تطعيم الاصابة بالفيروس او نقله. حرام عليكم كده,Covid Vaccine,Favor,No,Neutral
734,الناس السافرت عُمرة رمضان .. هل شهادة تطعيم كورونا مطلوبة ؟؟ #اسأل_تويتر,Covid Vaccine,,No,Neutral
